source_table,source_column,pdp_class,nullable
sale_order,write_date,internal,
sale_order,write_uid,internal,
sale_order,x_custom_approval_request_id,internal,
sale_order,x_custom_approval_state,internal,
sale_order_line,analytic_distribution,internal,
sale_order_line,collapse_composition,internal,
sale_order_line,collapse_prices,internal,
sale_order_line,combo_item_id,internal,
sale_order_line,company_id,internal,
sale_order_line,create_date,internal,
sale_order_line,create_uid,internal,
sale_order_line,currency_id,internal,
sale_order_line,customer_lead,internal,
sale_order_line,discount,internal,
sale_order_line,display_type,internal,
sale_order_line,extra_tax_data,internal,
sale_order_line,id,internal,
sale_order_line,invoice_status,internal,
sale_order_line,is_downpayment,internal,
sale_order_line,is_expense,internal,
sale_order_line,is_optional,internal,
sale_order_line,is_service,internal,
sale_order_line,linked_line_id,internal,
sale_order_line,linked_virtual_id,internal,
sale_order_line,name,internal,
sale_order_line,ndi_hj_components,internal,
sale_order_line,ndi_hj_level,internal,
sale_order_line,ndi_hpp_snapshot,internal,
sale_order_line,order_id,internal,
sale_order_line,order_partner_id,internal,
sale_order_line,price_reduce_taxexcl,internal,
sale_order_line,price_reduce_taxinc,internal,
sale_order_line,price_subtotal,internal,
sale_order_line,price_tax,internal,
sale_order_line,price_total,internal,
sale_order_line,price_unit,internal,
sale_order_line,product_id,internal,
sale_order_line,product_uom_id,internal,
sale_order_line,product_uom_qty,internal,
sale_order_line,project_id,internal,
sale_order_line,qty_delivered,internal,
sale_order_line,qty_delivered_method,internal,
sale_order_line,qty_invoiced,internal,
sale_order_line,qty_to_invoice,internal,
sale_order_line,salesman_id,internal,
sale_order_line,sequence,internal,
sale_order_line,state,internal,
sale_order_line,task_id,internal,
sale_order_line,technical_price_unit,internal,
sale_order_line,untaxed_amount_invoiced,internal,
sale_order_line,untaxed_amount_to_invoice,internal,
sale_order_line,virtual_id,internal,
sale_order_line,warehouse_id,internal,
sale_order_line,write_date,internal,
sale_order_line,write_uid,internal,
product_template,can_be_expensed,internal,
product_template,service_upsell_threshold,internal,
product_template,x_custom_withholding_category_id,internal,
sale_order,custom_credit_check_log_id,internal,
sale_order,opportunity_id,internal,
sale_order_line,has_displayed_warning_upsell,internal,
sale_order_line,remaining_hours,internal,
account_move,custom_match_result_id,internal,
account_move,custom_match_status,internal,
account_move,x_custom_coretax_kode_status,internal,
account_move,x_custom_coretax_replaced_by_id,internal,
account_move,x_custom_coretax_replacement_of_id,internal,
account_move,x_custom_ic_mirror_id,internal,
account_move,x_custom_ic_rule_id,internal,
account_move,x_custom_ic_source_id,internal,
account_move,x_custom_total_withheld,internal,
account_move,x_custom_withholding_move_id,internal,
account_move_line,expense_id,internal,
account_move_line,x_custom_tax_label,internal,
account_move_line,x_custom_withholding_category_id,internal,
res_company,account_cash_basis_base_account_id,internal,
res_company,account_default_pos_receivable_account_id,internal,
res_company,account_discount_expense_allocation_id,internal,
res_company,account_discount_income_allocation_id,internal,
res_company,account_fiscal_country_id,internal,
res_company,account_journal_early_pay_discount_gain_account_id,internal,
res_company,account_journal_early_pay_discount_loss_account_id,internal,
res_company,account_journal_suspense_account_id,internal,
res_company,account_opening_date,internal,
res_company,account_opening_move_id,internal,
res_company,account_price_include,internal,
res_company,account_production_wip_account_id,internal,
res_company,account_production_wip_overhead_account_id,internal,
res_company,account_purchase_receipt_fiscal_position_id,internal,
res_company,account_purchase_tax_id,internal,
res_company,account_sale_tax_id,internal,
res_company,account_stock_journal_id,internal,
res_company,account_stock_valuation_id,internal,
res_company,account_storno,internal,
res_company,account_use_credit_limit,internal,
res_company,active,internal,
res_company,alias_domain_id,internal,
res_company,anglo_saxon_accounting,internal,
res_company,annual_inventory_day,internal,
res_company,annual_inventory_month,internal,
res_company,automatic_entry_default_journal_id,internal,
res_company,autopost_bills,internal,
res_company,bank_account_code_prefix,internal,
res_company,batch_payment_sequence_id,internal,
res_company,cash_account_code_prefix,internal,
res_company,chart_template,internal,
res_company,company_details,public,
res_company,contract_expiration_notice_period,internal,
res_company,cost_method,internal,
res_company,create_date,internal,
res_company,create_uid,internal,
res_company,currency_exchange_journal_id,internal,
res_company,currency_id,internal,
res_company,days_to_purchase,internal,
